章三尤平 jeu 周
常三尤平 zheu 讎
日三尤平 reu 柔
書三尤平 sheu 收
滂三尤平 feu 䬌
見三尤平 cieu 鳩
幫三尤平 feu 不
生三尤平 sreu 𢯱
初三尤平 treu 搊
莊三尤平 dreu 鄒
崇三尤平 jreu 愁
曉三尤平 xieu 休
邪三尤平 szieu 囚
澄三尤平 dhyeu 儔
知三尤平 dyeu 輈
羣三尤平 gieu 𧚍
並三尤平 fveu 浮
明三尤平 veu 謀
匣開一侯平 heu 侯
影開一侯平 eu 謳
泥開一侯平 neu 羺
來開一侯平 leu 樓
心開一侯平 seu 涑
溪開一侯平 keu 彄
曉開一侯平 xeu 齁
精開一侯平 zeu 𣠏
透開一侯平 teu 偷
定開一侯平 dheu 頭
疑開一侯平 qeu 齵
見開一侯平 ceu 鉤
端開一侯平 deu 兜
從開一侯平 dzeu 㔌
並一侯平 bheu 裒
清開一侯平 tseu 䜅
明一侯平 meu 呣
影三幽平 ieu 幽
羣三幽平 gieu 虯
幫三幽平 beu 彪
來三幽平 lieu 鏐
見三幽平 cieu 樛
並三幽平 bheu 淲
精三幽平 zieu 稵
生三幽平 sram 犙
疑三幽平 qieu 聱
曉三幽平 xieu 飍
明三幽平 meu 繆
清開三侵平 tsim 侵
